city,category,goal_amount,raised_amount,fulfillment_ratio,donation_count,avg_donation_amount,avg_days_since_last_donation,donor_retention_rate,poverty_index,need_gap,is_hotspot
Aurangabad,Medical,499083.58,145848.08,0.2922,78,1869.85,14.5,0.332,0.51,353235.5,1
Mumbai,Education,41162.73,15376.24,0.3735,147,104.6,9.5,0.511,0.31,25786.49,0
Nagpur,Medical,333841.17,115506.28,0.346,112,1031.31,12.9,0.4545,0.38,218334.89,0
Thane,Education,157796.37,85633.47,0.5427,96,892.02,18.2,0.4852,0.33,72162.9,0
Aurangabad,Disaster Relief,1304412.03,287099.27,0.2201,239,1201.25,25.8,0.3995,0.51,1017312.76,1
Osmanabad,Education,73905.04,12811.71,0.1734,62,206.64,20.1,0.3295,0.69,61093.33,1
Aurangabad,Medical,679778.37,143839.72,0.2116,9,15982.19,15.6,0.4385,0.51,535938.64,1
Solapur,Medical,750902.32,167296.31,0.2228,174,961.47,17.5,0.2692,0.55,583606.0,1
Thane,Disaster Relief,854604.47,281306.14,0.3292,198,1420.74,9.5,0.5261,0.33,573298.33,0
Latur,Medical,551879.7,62357.32,0.113,71,878.27,31.4,0.3157,0.67,489522.38,1
Pune,Disaster Relief,808943.27,403111.65,0.4983,25,16124.47,16.0,0.4815,0.28,405831.62,0
Thane,Disaster Relief,212404.6,49735.09,0.2342,285,174.51,8.5,0.4509,0.33,162669.51,0
Osmanabad,Education,171615.73,45297.14,0.2639,71,637.99,23.2,0.3642,0.69,126318.59,1
Mumbai,Education,253534.7,101526.9,0.4004,69,1471.4,14.8,0.4507,0.31,152007.8,0
Mumbai,Medical,90749.23,19734.07,0.2175,177,111.49,2.7,0.4056,0.31,71015.16,0
Dhule,Medical,483713.77,150976.89,0.3121,89,1696.37,15.7,0.4299,0.61,332736.88,1
Pune,Education,155398.15,52469.03,0.3376,11,4769.91,7.9,0.4856,0.28,102929.12,0
Mumbai,Medical,601764.03,143016.6,0.2377,75,1906.89,20.4,0.4337,0.31,458747.44,1
Nagpur,Education,18464.03,6727.92,0.3644,145,46.4,18.2,0.4486,0.38,11736.1,0
Nashik,Food & Hunger,24332.56,4239.94,0.1742,38,111.58,13.2,0.5038,0.42,20092.62,0
Dhule,Food & Hunger,179150.12,14307.65,0.0799,57,251.01,11.7,0.3952,0.61,164842.47,1
Nagpur,Education,80377.5,24446.11,0.3041,46,531.44,5.7,0.4233,0.38,55931.39,0
Nagpur,Medical,555666.66,163389.13,0.294,33,4951.19,5.8,0.5396,0.38,392277.53,0
Latur,Medical,152746.55,44902.56,0.294,89,504.52,21.5,0.3012,0.67,107843.99,1
Thane,Medical,388237.2,168065.82,0.4329,77,2182.67,14.0,0.4652,0.33,220171.38,0
Amravati,Disaster Relief,1512325.96,198590.12,0.1313,368,539.65,28.9,0.3358,0.58,1313735.84,1
Mumbai,Medical,764389.55,332110.16,0.4345,111,2991.98,20.0,0.4198,0.31,432279.39,0
Pune,Food & Hunger,14215.1,142.15,0.01,100,1.42,11.3,0.5349,0.28,14072.95,0
Mumbai,Disaster Relief,836791.59,151002.31,0.1805,84,1797.65,26.2,0.5199,0.31,685789.28,1
Mumbai,Food & Hunger,196287.92,75540.67,0.3848,68,1110.89,24.5,0.4886,0.31,120747.24,0
Nagpur,Disaster Relief,823258.43,133117.81,0.1617,318,418.61,2.8,0.4452,0.38,690140.61,0
Yavatmal,Medical,294245.39,56508.96,0.192,64,882.95,15.6,0.2033,0.72,237736.43,1
Nagpur,Food & Hunger,131766.2,51464.11,0.3906,25,2058.56,22.4,0.4335,0.38,80302.09,0
Aurangabad,Education,186551.59,68145.16,0.3653,58,1174.92,16.1,0.3842,0.51,118406.43,1
Nashik,Food & Hunger,49203.41,10128.96,0.2059,46,220.19,33.3,0.4338,0.42,39074.45,1
Amravati,Medical,558033.16,66916.97,0.1199,71,942.49,22.7,0.3771,0.58,491116.19,1
Nashik,Food & Hunger,102059.37,15307.01,0.15,76,201.41,12.6,0.3224,0.42,86752.35,0
Mumbai,Food & Hunger,35292.22,11482.25,0.3253,91,126.18,18.1,0.4175,0.31,23809.97,0
Kolhapur,Food & Hunger,13813.53,984.53,0.0713,42,23.44,13.0,0.3699,0.44,12829.0,0
Jalgaon,Food & Hunger,100054.29,29160.61,0.2914,60,486.01,9.2,0.4821,0.49,70893.68,1
Thane,Food & Hunger,34240.26,10013.61,0.2925,37,270.64,26.1,0.4025,0.33,24226.65,0
Pune,Medical,281020.07,81111.6,0.2886,90,901.24,3.3,0.5279,0.28,199908.47,1
Osmanabad,Education,63702.96,16283.52,0.2556,103,158.09,26.5,0.3616,0.69,47419.45,1
Pune,Food & Hunger,48964.74,15631.82,0.3192,65,240.49,6.9,0.5374,0.28,33332.91,0
Nashik,Disaster Relief,988223.2,240272.98,0.2431,275,873.72,16.4,0.4116,0.42,747950.22,1
Mumbai,Food & Hunger,48328.79,10119.74,0.2094,20,505.99,16.4,0.5955,0.31,38209.05,0
Mumbai,Medical,668730.04,185670.78,0.2776,173,1073.24,17.3,0.4458,0.31,483059.26,1
Mumbai,Disaster Relief,1856576.38,505627.95,0.2723,380,1330.6,18.3,0.5018,0.31,1350948.43,1
Pune,Education,164073.65,73183.33,0.446,60,1219.72,11.2,0.5354,0.28,90890.32,0
Nagpur,Education,271405.22,115247.87,0.4246,71,1623.21,34.1,0.355,0.38,156157.35,0
Nashik,Medical,727515.89,263182.66,0.3618,114,2308.62,5.8,0.4892,0.42,464333.23,0
Amravati,Medical,408953.31,104841.92,0.2564,179,585.71,35.1,0.4094,0.58,304111.39,1
Mumbai,Food & Hunger,118279.04,39835.39,0.3368,92,432.99,11.5,0.5175,0.31,78443.65,0
Mumbai,Food & Hunger,96830.04,25215.75,0.2604,67,376.35,34.3,0.3474,0.31,71614.29,0
Mumbai,Disaster Relief,1403199.47,273844.12,0.1952,280,978.01,8.1,0.4138,0.31,1129355.35,0
Jalgaon,Education,79795.03,15132.59,0.1896,96,157.63,14.9,0.3906,0.49,64662.44,1
Thane,Food & Hunger,117375.3,24978.74,0.2128,85,293.87,16.6,0.4901,0.33,92396.57,1
Thane,Education,34642.64,12528.79,0.3617,33,379.66,11.1,0.4889,0.33,22113.85,0
Pune,Disaster Relief,1202987.1,248846.24,0.2069,211,1179.37,12.1,0.4667,0.28,954140.86,0
Mumbai,Medical,113557.16,46574.64,0.4101,166,280.57,12.3,0.3982,0.31,66982.52,0
Thane,Disaster Relief,932257.06,9322.57,0.01,87,107.16,14.8,0.402,0.33,922934.49,1
Akola,Medical,629884.17,96654.29,0.1534,42,2301.29,16.0,0.3983,0.56,533229.88,1
Thane,Education,39324.66,15302.68,0.3891,149,102.7,35.5,0.471,0.33,24021.98,0
Kolhapur,Disaster Relief,1609574.94,222375.38,0.1382,319,697.1,1.2,0.4783,0.44,1387199.56,0
Pune,Disaster Relief,933913.23,192790.9,0.2064,271,711.41,3.2,0.426,0.28,741122.33,0
Mumbai,Medical,284131.18,95121.04,0.3348,52,1829.25,12.8,0.4792,0.31,189010.14,0
Osmanabad,Food & Hunger,146034.72,26303.94,0.1801,80,328.8,31.5,0.2675,0.69,119730.78,0
Mumbai,Disaster Relief,1160414.86,275548.91,0.2375,365,754.93,22.1,0.5385,0.31,884865.95,1
Dhule,Education,73420.52,22732.9,0.3096,51,445.74,9.9,0.4442,0.61,50687.62,0
Amravati,Food & Hunger,73814.51,8216.96,0.1113,8,1027.12,31.1,0.3442,0.58,65597.55,1
Pune,Medical,253210.96,106159.95,0.4193,170,624.47,9.0,0.508,0.28,147051.01,0
Nashik,Education,149253.65,51769.61,0.3469,81,639.13,6.9,0.4755,0.42,97484.04,0
Mumbai,Education,252955.12,121562.64,0.4806,147,826.96,4.0,0.481,0.31,131392.48,0
Mumbai,Education,165953.58,65608.27,0.3953,19,3453.07,25.2,0.4726,0.31,100345.31,0
Mumbai,Education,54012.4,10248.46,0.1897,136,75.36,16.3,0.5251,0.31,43763.94,0
Aurangabad,Disaster Relief,1167924.04,140312.97,0.1201,390,359.78,29.4,0.3033,0.51,1027611.07,1
Mumbai,Medical,492442.88,121551.33,0.2468,47,2586.2,2.1,0.4361,0.31,370891.56,0
Solapur,Disaster Relief,1240289.1,148567.2,0.1198,477,311.46,25.9,0.3775,0.55,1091721.9,1
Nashik,Disaster Relief,1210401.96,111926.84,0.0925,44,2543.79,38.1,0.4272,0.42,1098475.12,1
Kolhapur,Medical,291897.39,55555.95,0.1903,128,434.03,4.0,0.3768,0.44,236341.44,0
Mumbai,Food & Hunger,141992.33,62509.7,0.4402,36,1736.38,0.2,0.5332,0.31,79482.63,0
Akola,Medical,637260.51,155109.61,0.2434,20,7755.48,37.4,0.4402,0.56,482150.9,1
Aurangabad,Food & Hunger,57436.92,13274.99,0.2311,61,217.62,23.7,0.4064,0.51,44161.93,1
Thane,Education,104163.63,43394.79,0.4166,36,1205.41,10.2,0.4582,0.33,60768.85,0
Kolhapur,Food & Hunger,170464.39,21631.15,0.1269,41,527.59,7.0,0.4491,0.44,148833.24,0
Mumbai,Medical,435955.48,69577.88,0.1596,105,662.65,4.0,0.4848,0.31,366377.6,0
Kolhapur,Medical,711632.75,274040.73,0.3851,112,2446.79,18.9,0.4773,0.44,437592.03,0
Amravati,Disaster Relief,68496.6,7949.57,0.1161,298,26.68,18.0,0.3341,0.58,60547.03,1
Pune,Food & Hunger,150140.64,21965.64,0.1463,32,686.43,11.0,0.4478,0.28,128175.0,0
Pune,Education,182895.93,81353.21,0.4448,16,5084.58,11.4,0.4757,0.28,101542.72,0
Dhule,Medical,634417.39,85866.76,0.1353,20,4293.34,31.2,0.3453,0.61,548550.63,1
Nagpur,Medical,791618.31,229752.99,0.2902,75,3063.37,16.8,0.4242,0.38,561865.31,1
Mumbai,Disaster Relief,394229.66,107933.96,0.2738,125,863.47,18.7,0.4449,0.31,286295.7,1
Mumbai,Disaster Relief,471831.84,201064.47,0.4261,272,739.21,18.1,0.4814,0.31,270767.38,0
Wardha,Disaster Relief,1640874.59,16408.75,0.01,127,129.2,25.8,0.2682,0.64,1624465.85,1
Thane,Education,145368.15,39030.42,0.2685,76,513.56,9.2,0.4645,0.33,106337.73,0
Solapur,Education,131409.17,37450.79,0.285,62,604.04,28.6,0.3325,0.55,93958.38,1
Mumbai,Food & Hunger,30799.08,10120.57,0.3286,70,144.58,14.6,0.5032,0.31,20678.52,0
Solapur,Food & Hunger,161510.94,51901.7,0.3214,80,648.77,28.1,0.4054,0.55,109609.24,1
Aurangabad,Disaster Relief,1413031.94,228329.32,0.1616,481,474.7,19.0,0.448,0.51,1184702.62,0
Nanded,Medical,601218.9,114483.94,0.1904,33,3469.21,27.2,0.368,0.63,486734.96,1
Mumbai,Food & Hunger,25978.66,8006.7,0.3082,18,444.82,0.8,0.4649,0.31,17971.97,0
Mumbai,Medical,771318.8,263156.75,0.3412,64,4111.82,19.2,0.4853,0.31,508162.05,0
Akola,Food & Hunger,156462.28,33819.67,0.2162,59,573.21,29.6,0.3467,0.56,122642.61,1
Thane,Food & Hunger,14671.51,5881.29,0.4009,7,840.18,13.9,0.3662,0.33,8790.23,0
Aurangabad,Education,60297.41,22325.96,0.3703,24,930.25,19.9,0.4004,0.51,37971.45,0
Pune,Food & Hunger,25652.4,9267.52,0.3613,83,111.66,3.2,0.5316,0.28,16384.88,0
Mumbai,Food & Hunger,148941.31,16124.12,0.1083,41,393.27,9.8,0.5231,0.31,132817.19,0
Latur,Food & Hunger,80020.01,14468.23,0.1808,104,139.12,29.1,0.3306,0.67,65551.77,1
Latur,Medical,144084.98,44972.03,0.3121,8,5621.5,5.2,0.2995,0.67,99112.95,1
Osmanabad,Food & Hunger,161342.09,28876.67,0.179,60,481.28,20.3,0.414,0.69,132465.42,1
Nashik,Disaster Relief,1320462.96,334419.19,0.2533,227,1473.21,3.9,0.5301,0.42,986043.77,0
Osmanabad,Education,98123.83,20919.53,0.2132,107,195.51,28.7,0.3479,0.69,77204.31,0
Nashik,Food & Hunger,37725.19,8488.96,0.225,7,1212.71,10.3,0.3584,0.42,29236.23,0
Kolhapur,Education,108041.47,36391.0,0.3368,82,443.79,16.2,0.3899,0.44,71650.47,1
Mumbai,Education,106796.99,50145.91,0.4695,15,3343.06,18.7,0.4936,0.31,56651.08,0
Jalgaon,Medical,750564.49,198616.22,0.2646,14,14186.87,34.2,0.4219,0.49,551948.27,1
Solapur,Education,238275.48,65089.0,0.2732,102,638.13,40.8,0.4878,0.55,173186.47,1
Nashik,Disaster Relief,1076485.19,296872.16,0.2758,371,800.19,12.4,0.4078,0.42,779613.03,0
Mumbai,Disaster Relief,966856.06,262690.45,0.2717,228,1152.15,17.3,0.5013,0.31,704165.6,1
Mumbai,Disaster Relief,1376445.07,91130.43,0.0662,54,1687.6,23.0,0.4705,0.31,1285314.65,1
Kolhapur,Food & Hunger,129465.32,35460.89,0.2739,63,562.87,24.3,0.4716,0.44,94004.42,1
Mumbai,Education,153700.65,97092.24,0.6317,132,735.55,12.9,0.5202,0.31,56608.41,0
Thane,Education,117358.04,39221.16,0.3342,127,308.83,3.4,0.5055,0.33,78136.89,0
Thane,Education,82699.85,27341.97,0.3306,145,188.57,17.5,0.4534,0.33,55357.88,0
Pune,Food & Hunger,86953.95,34032.08,0.3914,81,420.15,27.8,0.5014,0.28,52921.87,0
Nagpur,Disaster Relief,1330636.5,187500.89,0.1409,176,1065.35,12.7,0.4653,0.38,1143135.61,0
Nagpur,Disaster Relief,1773233.86,78919.58,0.0445,235,335.83,11.1,0.4037,0.38,1694314.28,0
Thane,Food & Hunger,144287.67,40679.2,0.2819,24,1694.97,21.7,0.5291,0.33,103608.47,1
Nanded,Food & Hunger,94810.04,13454.74,0.1419,67,200.82,32.6,0.3319,0.63,81355.3,1
Aurangabad,Disaster Relief,931788.11,102421.77,0.1099,468,218.85,20.9,0.2961,0.51,829366.33,0
Mumbai,Medical,396920.24,80353.66,0.2024,96,837.02,18.3,0.4974,0.31,316566.58,1
Mumbai,Food & Hunger,143889.34,12801.67,0.089,28,457.2,16.5,0.4435,0.31,131087.67,1
Latur,Education,87762.36,21394.05,0.2438,44,486.23,24.9,0.3412,0.67,66368.31,1
Mumbai,Medical,559383.23,189821.98,0.3393,123,1543.27,19.4,0.4188,0.31,369561.25,0
Aurangabad,Education,114343.5,39264.9,0.3434,54,727.13,11.4,0.3793,0.51,75078.6,0
Mumbai,Education,130179.99,53698.63,0.4125,55,976.34,22.7,0.5045,0.31,76481.36,0
Amravati,Disaster Relief,1744356.22,17443.56,0.01,331,52.7,15.2,0.4235,0.58,1726912.66,1
Thane,Disaster Relief,807688.3,81606.5,0.101,235,347.26,9.8,0.4018,0.33,726081.8,0
Mumbai,Disaster Relief,378466.55,123960.73,0.3275,260,476.77,19.9,0.5071,0.31,254505.82,0
Akola,Medical,289467.07,66771.98,0.2307,71,940.45,33.4,0.2848,0.56,222695.09,1
Thane,Food & Hunger,114388.71,36191.67,0.3164,64,565.49,22.7,0.4545,0.33,78197.03,0
Mumbai,Disaster Relief,524790.48,171577.96,0.3269,464,369.78,8.3,0.462,0.31,353212.52,0
Pune,Food & Hunger,137318.25,37436.2,0.2726,71,527.27,19.6,0.5007,0.28,99882.05,1
Osmanabad,Education,49737.54,10228.38,0.2056,35,292.24,17.9,0.3516,0.69,39509.16,1
Solapur,Food & Hunger,160747.38,15140.84,0.0942,98,154.5,20.3,0.4039,0.55,145606.54,1
Mumbai,Education,248468.82,53134.31,0.2138,133,399.51,8.7,0.4429,0.31,195334.52,0
Nagpur,Medical,727065.61,235088.93,0.3233,49,4797.73,28.5,0.5015,0.38,491976.68,0
Aurangabad,Medical,99039.87,17130.35,0.173,114,150.27,38.1,0.3341,0.51,81909.52,1
Solapur,Education,149774.21,29213.88,0.1951,53,551.21,22.7,0.345,0.55,120560.33,1
Pune,Medical,485719.16,139187.75,0.2866,91,1529.54,7.0,0.57,0.28,346531.41,0
Solapur,Medical,37261.35,11678.03,0.3134,110,106.16,17.3,0.4141,0.55,25583.32,1
Pune,Medical,717997.93,226975.56,0.3161,38,5973.04,4.6,0.4524,0.28,491022.37,0
Mumbai,Medical,669693.91,190411.99,0.2843,117,1627.45,15.9,0.5076,0.31,479281.92,1
Pune,Education,109905.55,31155.0,0.2835,103,302.48,26.8,0.509,0.28,78750.54,1
Mumbai,Food & Hunger,26865.8,7115.12,0.2648,91,78.19,17.3,0.4597,0.31,19750.69,0
Nanded,Food & Hunger,76038.59,2495.52,0.0328,81,30.81,19.6,0.2776,0.63,73543.07,1
Wardha,Food & Hunger,156033.96,28998.69,0.1858,15,1933.25,15.0,0.3847,0.64,127035.27,1
Thane,Food & Hunger,158585.34,30621.95,0.1931,86,356.07,8.6,0.4014,0.33,127963.38,0
Akola,Medical,420036.29,76422.17,0.1819,169,452.2,28.3,0.3943,0.56,343614.12,1
Nagpur,Food & Hunger,186813.09,63547.42,0.3402,18,3530.41,12.9,0.5063,0.38,123265.67,0
Latur,Education,55264.24,16482.53,0.2982,55,299.68,20.9,0.3676,0.67,38781.72,1
Nashik,Medical,740136.82,215837.26,0.2916,90,2398.19,28.7,0.4599,0.42,524299.57,1
Nashik,Medical,664530.59,144892.18,0.218,88,1646.5,20.4,0.3529,0.42,519638.41,1
Kolhapur,Food & Hunger,92174.6,19069.89,0.2069,40,476.75,4.9,0.4387,0.44,73104.7,0
Aurangabad,Medical,38708.05,4392.8,0.1135,72,61.01,30.4,0.3294,0.51,34315.25,1
Nashik,Education,31467.46,11777.21,0.3743,107,110.07,12.7,0.4169,0.42,19690.25,0
Mumbai,Food & Hunger,130306.03,25717.13,0.1974,30,857.24,8.4,0.5005,0.31,104588.89,0
Solapur,Medical,712118.27,105228.13,0.1478,83,1267.81,17.4,0.3214,0.55,606890.13,1
Nanded,Medical,324986.04,58298.03,0.1794,143,407.68,15.5,0.4355,0.63,266688.01,1
Thane,Medical,34393.6,13121.89,0.3815,47,279.19,14.8,0.497,0.33,21271.71,0
Nashik,Disaster Relief,1023700.98,130057.87,0.127,81,1605.65,13.9,0.4125,0.42,893643.11,0
Amravati,Medical,330719.12,86749.83,0.2623,85,1020.59,24.7,0.3784,0.58,243969.29,1
Amravati,Medical,755694.13,184400.06,0.244,49,3763.27,21.1,0.3974,0.58,571294.08,1
Nagpur,Education,196450.86,80288.18,0.4087,95,845.14,16.7,0.4103,0.38,116162.68,0
Kolhapur,Medical,368536.64,124360.67,0.3374,145,857.66,28.0,0.3023,0.44,244175.98,0
Wardha,Food & Hunger,157184.17,21826.81,0.1389,81,269.47,20.6,0.3222,0.64,135357.36,1
Aurangabad,Food & Hunger,23055.44,2585.97,0.1122,64,40.41,19.1,0.4047,0.51,20469.47,1
Osmanabad,Disaster Relief,451090.16,42248.53,0.0937,78,541.65,36.3,0.3518,0.69,408841.63,1
Nashik,Education,270307.16,78258.89,0.2895,76,1029.72,14.6,0.4302,0.42,192048.27,1
Nashik,Food & Hunger,134730.94,17620.51,0.1308,19,927.4,22.1,0.4215,0.42,117110.43,1
Pune,Disaster Relief,1122679.28,167101.76,0.1488,151,1106.63,10.4,0.4985,0.28,955577.53,0
Mumbai,Medical,246577.76,90494.03,0.367,147,615.61,13.0,0.4901,0.31,156083.73,0
Nagpur,Food & Hunger,152156.46,18945.81,0.1245,11,1722.35,18.3,0.5042,0.38,133210.65,1
Nashik,Medical,152731.48,33302.87,0.218,28,1189.39,24.1,0.4609,0.42,119428.62,1
Nashik,Food & Hunger,75052.89,24786.23,0.3303,90,275.4,13.6,0.3891,0.42,50266.66,0
Mumbai,Food & Hunger,130895.36,36063.92,0.2755,92,392.0,13.2,0.4148,0.31,94831.44,1
Pune,Medical,708124.35,190881.36,0.2696,158,1208.11,8.4,0.4233,0.28,517243.0,0
Amravati,Disaster Relief,416648.23,85094.7,0.2042,190,447.87,24.6,0.4407,0.58,331553.53,0
Kolhapur,Education,252313.93,102415.9,0.4059,115,890.57,27.2,0.4187,0.44,149898.04,0
Mumbai,Disaster Relief,924790.73,299410.03,0.3238,366,818.06,16.1,0.5226,0.31,625380.7,0
Nagpur,Food & Hunger,43890.79,8545.73,0.1947,51,167.56,7.0,0.4495,0.38,35345.06,0
Mumbai,Education,175023.11,84365.54,0.482,88,958.7,27.3,0.5238,0.31,90657.57,0
Pune,Food & Hunger,71200.52,13429.31,0.1886,84,159.87,16.5,0.5157,0.28,57771.21,0
Pune,Education,108534.93,39995.04,0.3685,70,571.36,12.7,0.4819,0.28,68539.9,0
Solapur,Disaster Relief,1480550.87,88353.25,0.0597,326,271.02,17.2,0.3136,0.55,1392197.62,1
Wardha,Food & Hunger,82928.26,10178.15,0.1227,70,145.4,14.2,0.3614,0.64,72750.11,1
Pune,Medical,567695.27,268496.6,0.473,127,2114.15,26.8,0.4588,0.28,299198.67,0
Nashik,Medical,380094.84,67629.46,0.1779,89,759.88,17.4,0.5206,0.42,312465.38,1
Solapur,Education,31324.87,8233.88,0.2629,65,126.68,18.7,0.3773,0.55,23090.99,0
Pune,Education,95423.32,45138.72,0.473,46,981.28,16.2,0.4769,0.28,50284.6,0
Pune,Education,137232.76,50719.01,0.3696,31,1636.1,19.1,0.5407,0.28,86513.75,0
Pune,Disaster Relief,727319.49,291411.04,0.4007,451,646.14,13.9,0.5138,0.28,435908.44,0
Mumbai,Food & Hunger,159665.47,39539.8,0.2476,117,337.95,33.1,0.4983,0.31,120125.68,1
Pune,Disaster Relief,1945410.39,353555.54,0.1817,312,1133.19,6.9,0.4722,0.28,1591854.86,0
Pune,Education,40319.47,17966.35,0.4456,147,122.22,28.7,0.4634,0.28,22353.12,0
Amravati,Medical,446242.12,47422.01,0.1063,19,2495.9,13.8,0.2219,0.58,398820.11,1
Dhule,Food & Hunger,51057.19,13612.47,0.2666,38,358.22,21.2,0.3409,0.61,37444.72,1
Osmanabad,Disaster Relief,1583242.49,145469.73,0.0919,116,1254.05,20.0,0.2985,0.69,1437772.76,1
Kolhapur,Education,20114.52,7494.87,0.3726,32,234.21,11.5,0.5031,0.44,12619.65,0
Nashik,Food & Hunger,98146.96,23789.79,0.2424,109,218.25,16.2,0.5917,0.42,74357.18,0
Aurangabad,Medical,332970.58,78524.28,0.2358,39,2013.44,13.3,0.4595,0.51,254446.3,1
Pune,Medical,331877.12,93395.39,0.2814,165,566.03,3.6,0.4939,0.28,238481.73,0
Amravati,Disaster Relief,1246272.62,225714.86,0.1811,101,2234.8,20.2,0.4952,0.58,1020557.76,0
Pune,Food & Hunger,134315.58,37960.88,0.2826,22,1725.49,29.9,0.4346,0.28,96354.7,1
Jalgaon,Food & Hunger,150548.76,14961.95,0.0994,88,170.02,19.4,0.4235,0.49,135586.81,1
Mumbai,Food & Hunger,179149.03,34792.61,0.1942,14,2485.19,7.9,0.5058,0.31,144356.42,0
Nanded,Education,46563.31,13509.73,0.2901,53,254.9,29.8,0.3848,0.63,33053.58,1
Nashik,Food & Hunger,145282.66,24210.36,0.1666,99,244.55,15.7,0.4137,0.42,121072.31,1
Pune,Disaster Relief,422957.81,62018.11,0.1466,297,208.82,29.5,0.5278,0.28,360939.7,1
Pune,Medical,122855.17,47605.53,0.3875,123,387.04,23.0,0.4319,0.28,75249.64,0
Mumbai,Medical,532843.87,164147.66,0.3081,156,1052.23,9.5,0.4462,0.31,368696.21,0
Kolhapur,Medical,531201.16,94023.58,0.177,169,556.35,21.0,0.4485,0.44,437177.58,1
Aurangabad,Education,200469.04,57264.7,0.2857,63,908.96,11.2,0.3674,0.51,143204.33,1
